Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z
141.249,-7.008,-205.166,145.879,-7.0874996,-207.80951
145.879,-7.0874996,-207.80951,149.9815,-7.1125,-211.4635
149.9815,-7.1125,-211.4635,153.3235,-7.008,-215.695
153.3235,-7.008,-215.695,155.5715,-7.0225,-220.9425
155.5715,-7.0225,-220.9425,155.975,-7.0404997,-226.01
155.975,-7.0404997,-226.01,154.83951,-7.018,-231.515
154.83951,-7.018,-231.515,153.3255,-7.008,-238.065
153.3255,-7.008,-238.065,151.86801,-6.7865,-243.166
151.86801,-6.7865,-243.166,149.884,-6.5275,-248.205
149.884,-6.5275,-248.205,146.957,-6.657,-252.3925
146.957,-6.657,-252.3925,143.2265,-7.0474997,-255.791
143.2265,-7.0474997,-255.791,138.8315,-7.2980003,-258.46448
138.8315,-7.2980003,-258.46448,133.91,-7.551,-260.4755
133.91,-7.551,-260.4755,128.601,-7.9455004,-261.88702
128.601,-7.9455004,-261.88702,123.044,-8.3695,-262.76147
123.044,-8.3695,-262.76147,117.377,-8.645,-263.1625
117.377,-8.645,-263.1625,109.7565,-10.834,-262.4135
109.7565,-10.834,-262.4135,98.891,-12.626,-262.4405
98.891,-12.626,-262.4405,91.4445,-12.756,-265.129
91.4445,-12.756,-265.129,84.7215,-12.781,-270.1975
84.7215,-12.781,-270.1975,80.274506,-12.885,-277.8505
80.274506,-12.885,-277.8505,72.414,-12.909,-283.436
72.414,-12.909,-283.436,62.5885,-12.883,-285.50452
62.5885,-12.883,-285.50452,53.177002,-12.875,-284.263
53.177002,-12.875,-284.263,45.2075,-13.049,-279.03
45.2075,-13.049,-279.03,40.9255,-13.061,-270.70398
40.9255,-13.061,-270.70398,39.141502,-12.979,-261.7835
39.141502,-12.979,-261.7835,36.287003,-12.907,-252.74399
36.287003,-12.907,-252.74399,31.4105,-12.748,-245.4885
31.4105,-12.748,-245.4885,24.036499,-13.062,-239.185
24.036499,-13.062,-239.185,17.8615,-13.5215,-236.156
17.8615,-13.5215,-236.156,14.377001,-12.868,-234.45651
14.377001,-12.868,-234.45651,8.542,-12.171,-232.5475
8.542,-12.171,-232.5475,-3.3495,-12.224,-229.844
-3.3495,-12.224,-229.844,-9.175,-12.158,-228.6195
-9.175,-12.158,-228.6195,-14.856,-11.622,-227.548
-14.856,-11.622,-227.548,-20.222,-11.497499,-226.966
-20.222,-11.497499,-226.966,-25.0905,-11.169,-227.1825
-25.0905,-11.169,-227.1825,-29.400002,-10.7045,-228.209
-29.400002,-10.7045,-228.209,-33.0875,-10.171499,-230.0565
-33.0875,-10.171499,-230.0565,-36.091,-9.639,-232.7355
-36.091,-9.639,-232.7355,-38.347,-9.1744995,-236.2575
-38.347,-9.1744995,-236.2575,-39.794,-8.846,-240.6335
-39.794,-8.846,-240.6335,-40.369,-8.721,-245.874
-40.369,-8.721,-245.874,-39.946,-8.539,-251.498
-39.946,-8.539,-251.498,-38.511,-8.0595,-256.874
-38.511,-8.0595,-256.874,-36.1675,-7.3815002,-261.787
-36.1675,-7.3815002,-261.787,-33.019,-6.6035004,-266.023
-33.019,-6.6035004,-266.023,-29.169498,-5.8265,-269.3685
-29.169498,-5.8265,-269.3685,-24.7225,-5.148,-271.6085
-24.7225,-5.148,-271.6085,-19.782501,-4.6685,-272.529
-19.782501,-4.6685,-272.529,-14.453,-4.6335,-271.9165
-14.453,-4.6335,-271.9165,-9.516,-4.512,-270.183
-9.516,-4.512,-270.183,-5.6055,-4.5795,-267.891
-5.6055,-4.5795,-267.891,-2.6055,-4.674,-265.05048
-2.6055,-4.674,-265.05048,-0.3974998,-5.151,-261.718
-0.3974998,-5.151,-261.718,1.6225001,-5.5275,-256.091
1.6225001,-5.5275,-256.091,2.6434999,-5.681,-249.06851
2.6434999,-5.681,-249.06851,2.853,-5.706,-243.353
2.853,-5.706,-243.353,3.7200003,-5.643,-238.5015
3.7200003,-5.643,-238.5015,9.305,-5.643,-226.194
9.305,-5.643,-226.194,15.9244995,-5.643,-214.4035
15.9244995,-5.643,-214.4035,20.6815,-5.643,-205.5085
20.6815,-5.643,-205.5085,24.819,-5.643,-196.8205
24.819,-5.643,-196.8205,25.75,-5.643,-189.27051
25.75,-5.643,-189.27051,26.370499,-4.757,-179.342
26.370499,-4.757,-179.342,26.060501,-3.666,-171.688
26.060501,-3.666,-171.688,24.261501,-2.996,-164.59149
24.261501,-2.996,-164.59149,22.2335,-2.24,-156.5875
22.2335,-2.24,-156.5875,18.361,-1.724,-151.0975
18.361,-1.724,-151.0975,13.856,-1.229,-145.935
13.856,-1.229,-145.935,6.928,-2.142,-138.5035
6.928,-2.142,-138.5035,1.1345,-3.02,-130.8345
1.1345,-3.02,-130.8345,-9.7525,-4.423,-115.858
-9.7525,-4.423,-115.858,-15.104,-4.338,-107.15
-15.104,-4.338,-107.15,-18.2275,-3.41,-98.7575
-18.2275,-3.41,-98.7575,-18.552,-2.692,-92.733
-18.552,-2.692,-92.733,-16.883,-2.873,-87.8975
-16.883,-2.873,-87.8975,-14.400499,-3.307,-76.83099
-14.400499,-3.307,-76.83099,-13.3665,-3.41,-66.384995
-13.3665,-3.41,-66.384995,-10.6775,-3.227,-58.524002
-10.6775,-3.227,-58.524002,-9.436,-3.41,-53.456497
-9.436,-3.41,-53.456497,-1.7824999,-3.062,-39.804
-1.7824999,-3.062,-39.804,0.286,-1.788,-28.633999
0.286,-1.788,-28.633999,0.078999996,-1.228,-18.911999
0.078999996,-1.228,-18.911999,-0.291,-0.189,-7.0815
-0.291,-0.189,-7.0815,0.078999996,0.121,8.6085
